Item,Brand,Price,Quantity,Expiry Date
T-Shirt,Gap,20.00,30,2024-04-10
Jeans,Levi's,50.00,25,2024-04-12
Dress,Calvin Klein,100.00,10,2024-04-08
Sweater,Uniqlo,40.00,20,2024-04-09
Jacket,The North Face,150.00,15,2024-04-11
Shorts,Old Navy,25.00,35,2024-04-14
Blouse,Zara,30.00,18,2024-04-07
Skirt,H&M,35.00,22,2024-04-15
Suit,Brooks Brothers,300.00,8,2024-04-13
Hoodie,Adidas,60.00,12,2024-04-16
Pants,Dockers,45.00,20,2024-04-05
Blazer,Banana Republic,120.00,10,2024-04-18
Sweatshirt,Champion,40.00,20,2024-04-20
Dress Shirt,Ralph Lauren,80.00,15,2024-04-22
Leggings,Lululemon,70.00,25,2024-04-25
Cardigan,Forever 21,25.00,30,2024-04-28
Coat,Burberry,500.00,5,2024-04-30
Jumpsuit,Topshop,70.00,10,2024-04-02
Swimsuit,Speedo,40.00,15,2024-04-04
Socks,Nike,10.00,50,2024-04-06
