Item,Brand,Price,Quantity,Expiry Date
Aspirin,Bayer,5.00,50,2024-04-10
Band-Aids,Johnson & Johnson,3.00,100,2024-04-12
Vitamins,Nature Made,10.00,30,2024-04-08
Antacid,Tums,7.00,40,2024-04-09
Cough Syrup,Robitussin,8.00,25,2024-04-11
Allergy Medicine,Claritin,15.00,20,2024-04-14
Eye Drops,Visine,6.00,35,2024-04-07
First Aid Kit,Preparedness,20.00,10,2024-04-15
Pain Reliever,Advil,8.00,45,2024-04-13
Antibiotic Ointment,Neosporin,6.00,30,2024-04-16
Thermometer,Braun,15.00,15,2024-04-05
Nasal Spray,Flonase,12.00,20,2024-04-18
Laxative,Dulcolax,10.00,25,2024-04-20
Sleep Aid,Melatonin,10.00,25,2024-04-22
Hand Sanitizer,Purell,4.00,50,2024-04-25
Cold Sore Treatment,Abreva,15.00,10,2024-04-28
Burn Cream,Alocane,7.00,20,2024-04-30
Insect Repellent,OFF!,8.00,15,2024-04-02
Feminine Hygiene Products,Always,6.00,40,2024-04-04
Disposable Gloves,Medpride,10.00,50,2024-04-06
